"common_name","diet"
"Pink-footed Goose","plant"
"Greater White-fronted Goose","plant"
"Garganey","plant"
"Garganey","snail"
"Tundra Swan","plant"
"Tundra Swan","cyanobacteria"
"Acorn Woodpecker","insect"
"Acorn Woodpecker","spider"
"Red-bellied Woodpecker","plant"
"Red-bellied Woodpecker","insect"
"Red-bellied Woodpecker","spider"
"Downy Woodpecker","insect"
"Downy Woodpecker","plant"
"Downy Woodpecker","spider"
"Northern Saw-whet Owl","mammal"
"Northern Saw-whet Owl","bird"
"Mississippi Kite","insect"
"Mississippi Kite","amphibian"
"Mississippi Kite","mammal"
"Mississippi Kite","reptile"
"Cooper's Hawk","bird"
"Cooper's Hawk","mammal"
"Cooper's Hawk","reptile"
"Cooper's Hawk","spider"
"Cooper's Hawk","crustacean"
"Red-shouldered Hawk","mammal"
"Red-shouldered Hawk","bird"
"Red-shouldered Hawk","amphibian"
"Red-shouldered Hawk","insect"
"Red-shouldered Hawk","reptile"
"Red-shouldered Hawk","worm"
"Red-shouldered Hawk","crustacean"
"Red-shouldered Hawk","fish"
"Broad-winged Hawk","mammal"
"Broad-winged Hawk","bird"
"Broad-winged Hawk","insect"
"Broad-winged Hawk","reptile"
"Broad-winged Hawk","amphibian"
"Broad-winged Hawk","crustacean"
"Broad-winged Hawk","snail"
"Broad-winged Hawk","worm"
"Broad-winged Hawk","spider"
"Swainson's Hawk","mammal"
"Swainson's Hawk","bird"
"Swainson's Hawk","reptile"
"Swainson's Hawk","insect"
"Swainson's Hawk","amphibian"
"Red-tailed Hawk","mammal"
"Red-tailed Hawk","bird"
"Red-tailed Hawk","reptile"
"Red-tailed Hawk","insect"
"Red-tailed Hawk","amphibian"
"Red-tailed Hawk","spider"
"Red-tailed Hawk","centipede"
"Red-tailed Hawk","fish"
"Ferruginous Hawk","mammal"
"Ferruginous Hawk","bird"
"Ferruginous Hawk","insect"
"Ferruginous Hawk","reptile"
"Ferruginous Hawk","amphibian"
"American Kestrel","mammal"
"American Kestrel","insect"
"American Kestrel","bird"
"American Kestrel","reptile"
"American Kestrel","amphibian"
"American Kestrel","spider"
"American Kestrel","centipede"
"American Kestrel","worm"
"Prairie Falcon","bird"
"Prairie Falcon","mammal"
"Prairie Falcon","insect"
"Prairie Falcon","reptile"
"Prairie Falcon","spider"
"Prairie Falcon","amphibian"
"Wood Stork","fish"
"Wood Stork","amphibian"
"Wood Stork","crustacean"
"Northern Flicker","insect"
"Northern Flicker","spider"
"Northern Harrier","mammal"
"Northern Harrier","bird"
"Northern Harrier","insect"
"Northern Harrier","reptile"
"Northern Harrier","amphibian"
"Northern Harrier","spider"
"Red-breasted Sapsucker","insect"
"Barnacle Goose","plant"
"Great Horned Owl","mammal"
"Great Horned Owl","bird"
"Great Horned Owl","insect"
"Great Horned Owl","spider"
"Great Horned Owl","reptile"
"Great Horned Owl","crustacean"
"Great Horned Owl","amphibian"
"Great Horned Owl","fish"
"Great Horned Owl","centipede"
"Great Horned Owl","snail"
"Wild Turkey","plant"
"Wild Turkey","conifer"
"Wild Turkey","moss"
"Trumpeter Swan","plant"
"Trumpeter Swan","fern"
"California Quail","plant"
"California Quail","insect"
"Lesser Scaup","scallop"
"Lesser Scaup","insect"
"Lesser Scaup","snail"
"Lesser Scaup","crustacean"
"Lesser Scaup","plant"
"Lesser Scaup","worm"
"Lesser Scaup","spider"
"Merlin","bird"
"Merlin","mammal"
"Merlin","reptile"
"Black Vulture","mammal"
"Black Vulture","bird"
"Glossy Ibis","insect"
"Glossy Ibis","crustacean"
"Glossy Ibis","reptile"
"Glossy Ibis","spider"
"Glossy Ibis","worm"
"Glossy Ibis","snail"
"Glossy Ibis","amphibian"
"Glossy Ibis","scallop"
"Red-cockaded Woodpecker","insect"
"Red-cockaded Woodpecker","spider"
"Vaux's Swift","insect"
"Northern Goshawk","bird"
"Northern Goshawk","mammal"
"Northern Goshawk","amphibian"
"Boreal Owl","mammal"
"Boreal Owl","bird"
"Boreal Owl","insect"
"Golden Eagle","mammal"
"Golden Eagle","bird"
"Golden Eagle","reptile"
"Golden Eagle","fish"
"Golden Eagle","insect"
"Short-eared Owl","mammal"
"Short-eared Owl","bird"
"Short-eared Owl","insect"
"Short-eared Owl","amphibian"
"Short-eared Owl","spider"
"Short-eared Owl","crustacean"
"Snowy Owl","mammal"
"Snowy Owl","bird"
"Peregrine Falcon","bird"
"Peregrine Falcon","mammal"
"Gyrfalcon","bird"
"Gyrfalcon","mammal"
"Hermit Thrush","insect"
"American Robin","insect"
"American Robin","plant"
"American Robin","spider"
"American Robin","conifer"
"Swainson's Thrush","insect"
"Swainson's Thrush","plant"
"Swainson's Thrush","millipede"
"Swainson's Thrush","snail"
"Swainson's Thrush","spider"
"Wood Thrush","insect"
"Wood Thrush","snail"
"Wood Thrush","spider"
"Pinyon Jay","insect"
"Pinyon Jay","conifer"
"Pinyon Jay","spider"
"Pinyon Jay","plant"
"Pinyon Jay","reptile"
